Paper,Passage,Question,Option A,Option B,Option C,Option D,Correct Answer,Explanation,Subject,Topic,Year,Image Url
GS1,,"Consider the following statements:\nStatement-I: The Indian Flying Fox is placed under the 'vermin' category in the Wild Life (Protection) Act, 1972.\nStatement-II: The Indian Flying Fox feeds on the blood of other animals.",Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",C,,Environment & Ecology and Disaster Management,"Protected Area Network: NP, WS, BR, etc.",2024,
GS1,,The total fertility rate in an economy is defined as:,the number of children born per 1000 People in the Population in a year,the number of children born to couple in their lifetime in a given population,the birth rate minus death rate,the average number of live births a woman would have by the end of her child-bearing age,D,,Indian Economy,Sectors of Economy - Agriculture,2024,
GS1,,"Consider the following statements:\n1. In India, Non-Banking Financial Companies can access the Liquidity Adjustment Facility window of the Reserve Bank of India.\n2. In India, Foreign Institutional Investors can hold the Government Securities (G-Secs).\n3. In India, Stock Exchanges can offer separate trading platforms for debts.",1 and 2 only,3 only,"1, 2 and 3",2 and 3 only,D,,Indian Economy,Bank Classification,2024,
GS1,,"In India, which of the following can trade in Corporate Bonds and Government Securities?\n1. Insurance Companies\n2. Pension Funds\n3. Retail Investors",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",D,,Indian Economy,"Sharemarket, Companies Act",2024,
GS1,,Consider the following:\n1. Exchange-Traded Funds (ETF)\n2. Motor vehicles\n3. Currency swap\nWhich of the above is/are considered financial instruments?,1 only,2 and 3 only,"1, 2 and 3",1 and 3 only,D,,Indian Economy,"Sharemarket, Companies Act",2024,
GS1,,"With reference to the sectors of the Indian economy, consider the following pairs:\nEconomic activity - Sector\n1. Storage of agricultural produce - Secondary\n2. Dairy farm - Primary\n3. Mineral exploration - Tertiary\n4. Weaving cloth - Secondary",Only one,Only two,Only three,All four,B,,Indian Economy,Sectors of Economy - Agriculture,2024,
GS1,,"Which one of the following words/phrases is most appropriately used to denote 'an interoperable network of 3D virtual worlds that can be accessed simultaneously by millions of users, who can exert property rights over virtual items'?",Big data analytics,Cryptography,Metaverse,Virtual matrix,C,,Science & Tech and Basic Science,IT & Communication Technology,2024,
GS1,,"With reference to the rules imposed by the Reserve Bank of India while treating foreign banks, consider the following statements:\n1. There is no minimum capital requirement for wholly owned banking subsidiaries in India.\n2. For wholly Owned banking subsidiaries in India, at least 50% of the board members should be Indian nationals.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,B,,Indian Economy,Bank Classification,2024,
GS1,,"With reference to Corporate Social Responsibility (CSR) rules in India, consider the following statements:\n1. CSR rules specify that expenditures that benefit the company directly or its employees will not be considered as CSR activities.\n2. CSR rules do not specify minimum spending on CSR activities.",1 only,2 only,Both 1 and 2,Neither 1 nor 2,A,,Indian Economy,"Sectors - MFG, Services, Ease of Doing Business, IPR, Startup, MSME",2024,
GS1,,"With reference to radioisotope thermoelectric generators (RTGs), consider the following statements:\n1. RTGs are miniature fission reactors.\n2. RTGs are used for powering the onboard systems of spacecrafts.\n3. RTGs can use Plutonium-238, which is a by-product of weapons development.",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B,,Science & Tech and Basic Science,Space Science,2024,
GS1,,"Consider the following statements:\nStatement-I: Giant stars live much longer than dwarf stars.\nStatement-II: Compared to dwarf stars, giant stars have a greater rate of nuclear reactions.",Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement-II is correct",D,,Science & Tech and Basic Science,Physics,2024,
GS1,,"With reference to radioisotope thermoelectric generators (RTGs), consider the following statements:\n1. RTGs are miniature fission reactors.\n2. RTGs are used for powering the onboard systems of spacecrafts.\n3. RTGs can use Plutonium-238, which is a by-product of weapons development.",1 and 2 only,2 and 3 only,1 and 3 only,"1, 2 and 3",B,,Science & Tech and Basic Science,Space Science,2024,
GS1,,"Consider the following statements:\nStatement-I: Giant stars live much longer than dwarf stars.\nStatement-II: Compared to dwarf stars, giant stars have a greater rate of nuclear reactions.",Both Statement-I and Statement-II are correct and Statement-II explains Statement-I,"Both Statement-I and Statement-II are correct, but Statement-II does not explain Statement-I","Statement-I is correct, but Statement-II is incorrect","Statement-I is incorrect, but Statement II is correct",D,,Science & Tech and Basic Science,Physics,2024,
GS1,,Which one of the following is synthesised in human body that dilate blood vessels and increases blood flow?,Nitric oxide,Nitrous oxide,Nitrogen dioxide,Nitrogen Pentoxide,A,,Science & Tech and Basic Science,Biology,2024,
GS1,,Consider the following Activities:\n1. Identification of narcotics on passengers at airports or in aircraft\n2. Monitoring of Precipitation\n3. Tracking the migration of animals\nIn how many of the above activities can the radars be used?,Only one,Only two,All three,None,C,,Science & Tech and Basic Science,IT & Communication Technology,2024,
GS1,,Consider the following aircraft:\n1. Rafael\n2. MiG-29\n3. Tejas MK-1\nHow many of the above are considered fifth generation fighter aircraft?,Only one,Only two,All three,None,D,,Science & Tech and Basic Science,Defence Technology,2024,
GS1,,In which of the following are hydrogels used?\n1. Controlled drug delivery in patients\n2. Mobile air-conditioning systems\n3. Preparation of industrial lubricants,1 only,1 and 2 only,2 and 3 only,"1, 2 and 3",B,,Science & Tech and Basic Science,Miscellaneous,2024,
GS1,,"Which one of the following is the exhaust pipe emission from Fuel Cell Electric Vehicles, powered by hydrogen?",Hydrogen peroxide,Hydronium,Oxygen,Water vapour,D,,Science & Tech and Basic Science,Energy,2024,
GS1,,"Recently, the term 'pumped-storage hydropower' is actually and appropriately discussed in the context of which one of the following?",Irrigation of terraced crop fields,Lift irrigation of cereal crops,Long duration energy storage,Rainwater harvesting system,C,,Science & Tech and Basic Science,Energy,2024,
GS1,,'Membrane Bioreactors' are often discussed in the context of:,Assisted reproductive technologies,Drug delivery nanotechnologies,Vaccine production technologies,Wastewater treatment technologies,D,,Science & Tech and Basic Science,Miscellaneous,2024,
GS1,,"With reference to the Indian economy, 'Collateral Borrowing and lending Obligations' are the instruments of:",Bond market,Forex market,Money market,Stock market,C,,Indian Economy,"Sharemarket, Companies Act",2024,
GS1,,"In which one of the following regions was Dhanyakataka, which flourished as a prominent Buddhist centre under the Mahasanghikas, located?",Andhra,Gandhara,Kalinga,Magadha,A,,Ancient India,Mauryan and Post-Mauryan Age,2023,
GS1,,"With reference to ancient India, how many of the following statements are correct?\n1. The concept of Stupa is Buddhist in origin.\n2. Stupa was generally a repository of relics.\n3. Stupa was a votive and commemorative structure in Buddhist tradition.",Only one,Only two,All three,None,B,,Ancient India,Mauryan and Post-Mauryan Age,2023,
GS1,,"With reference to ancient South India, Korkai, Poompuhar and Muchiri were well known as",capital cities,ports,centres of iron-and-steel making,shrines of Jain Tirthankaras,B,,Ancient India,Sangam Age,2023,
GS1,,Which one of the following explains the practice of 'Vattakirutal' as mentioned in Sangam poems?,Kings employing women bodyguards.,Learned persons assembling in royal courts to discuss religious and philosophical matters,Young girls keeping watch over agricultural fields and driving away birds and animals,A king defeated in a battle committing ritual suicide by starving himself to death,D,,Ancient India,Sangam Age,2023,
GS1,,How many of the following dynasties established their kingdoms in early eighth century AD?\n1. Hoysala\n2. Gahadavala\n3. Kakatiya\n4. Yadava,Only one,Only two,Only three,None,D,,Ancient India,Mauryan and Post-Mauryan Age,2023,
GS1,,"With reference to ancient Indian History, consider the following pairs:\nLiterary work : Author\n1. Devichandragupta : Bilhana\n2. Hammira-Mahakavya : Nayachandra Suri\n3. Milinda-panha : Nagarjuna\n4. Nitivakyamrita : Somadeva Suri\nHow many of the above pairs are correctly matched?",Only one,Only two,Only three,All four,B,,Art & Culture,Literature: Religious and Scientific,2023,
GS1,,"""Souls are not only the property of animal and plant life, but also of rocks, running water and many other natural objects not looked on as living by other religious sects.""\nThe above statement reflects one of the core beliefs of which one of the following religious sects of ancient India?",Buddhism,Jainism,Shaivism,Vaishnavism,B,,Ancient India,Mauryan and Post-Mauryan Age,2023,
GS1,,Who among the following rulers of Vijayanagara Empire constructed a large dam across Tungabhadra River and canal-cum-aqueduct several kilometres long from the river to the capital city?,Devaraya I,Mallikarjuna,Vira Vijaya,Virupaksha,A,,Medieval India,Delhi Sultanate (1206 AD to 1526 AD),2023,
